AnimalType,Name,SpecificBreed,PrimaryBreed,PrimaryColour,De-sexed,Gender,Age,Locality
D         ,Kairo,WEIMARANR ,WEIMAR,Grey      ,Y,M,6,WARANA
D         ,Ted,COLLBORDR ,COLLBO,Wheaten   ,Y,M,6,PEREGIAN SPRINGS
D         ,Odie,FOXTERRTY ,FOXTER,TriColour ,Y,M,12,MOOLOOLABA
D         ,Lucy,CAVOODLE  ,CAVOOD,Ruby      ,Y,F,4,GLENVIEW
Cat       ,Millie,DOMSH     ,DOMSH ,Tabby     ,Y,F,4,MAPLETON
D         ,Rex,COLLBORDRX,COLLBO,BlackWhite,Y,M,12,GOLDEN BEACH
D         ,Mini-May-Moon,MIXED     ,MIXED ,Grey      ,Y,F,16,MALENY
D         ,Big Red,BULLARAB  ,BULLAR,Brindle   ,Y,M,7,MAROOCHYDORE
D         ,Sheba,BULLTERR  ,BULLTE,Brindle   ,Y,F,5,MAROOCHYDORE
D         ,Buddy,SPANIELCK ,SPANIE,BlackTan  ,Y,M,6,KENILWORTH
D         ,Jessie,RIDGEBACKX,RIDGEB,BlackBrind,Y,F,3,SIPPY DOWNS
Cat       ,Mr Moo Kitty,TABBY     ,TABBY ,Ginger    ,Y,M,4,BEERWAH
Cat       ,Lilly,DOMSH     ,DOMSH ,WhiteGing ,Y,F,12,BARINGA
Cat       ,Phil,DOMSH     ,DOMSH ,Ginger    ,Y,M,12,BARINGA
D         ,Tyson,STAFFRDBTX,STAFFR,Tan       ,Y,M,11,MERIDAN PLAINS
D         ,Magnus,STAFFRDBT ,STAFFR,BlueBrind ,Y,M,8,MALENY
D         ,Rocco,STAFFRDBT ,STAFFR,BlackBrind,Y,M,3,SIPPY DOWNS
D         ,Bella,MALTESEX  ,MALTES,Black     ,N,F,9,CALOUNDRA WEST
D         ,Jax,AUST. SHEP,AUST. ,BlueMerle ,Y,M,3,PALMWOODS
D         ,Koby,JACKRUSSL ,JACKRU,WhiteTan  ,Y,M,8,MAROOCHYDORE
D         ,Thalia,BULLTERR  ,BULLTE,TriColour ,Y,F,8,YANDINA
D         ,Fui,LABRADOR  ,LABRAD,Chocolate ,Y,M,10,BUDERIM
D         ,Isabelle,CHIHUAHUA ,CHIHUA,BlackTan  ,Y,F,10,WARANA
D         ,Bailey,COLLBORDRX,COLLBO,Chocolate ,Y,F,3,LITTLE MOUNTAIN
D         ,Mr Smith,JACKRUSSL ,JACKRU,WhiteBrown,Y,M,11,MOOLOOLABA
D         ,Avi,MASTIFNEPX,MASTIF,Caramel   ,Y,F,5,WARANA
D         ,Peppa,CHIHUAHUA ,CHIHUA,BlackBrown,Y,F,4,MAROOCHY RIVER
D         ,Gemma,GREATDANEX,GREATD,BlackWhite,Y,F,6,BUDERIM
Cat       ,Halo,SIAMESE   ,SIAMES,Tabby     ,Y,M,7,KINGS BEACH
D         ,Jazz,GERMNSHEP ,GERMNS,BlackTan  ,Y,F,3,PEREGIAN SPRINGS
D         ,Bella,ROTTWEILRX,ROTTWE,BlackTan  ,Y,F,3,BLI BLI
Cat       ,Bailey Blue,RAGDOLL   ,RAGDOL,CreamBrown,Y,M,4,LANDSBOROUGH
Cat       ,Angel,DOMSH     ,DOMSH ,Tabby     ,Y,F,3,LANDSBOROUGH
D         ,Rachel,LABRADOR  ,LABRAD,Yellow    ,Y,F,4,BUDDINA
Cat       ,Salem,DOMSH     ,DOMSH ,Black     ,Y,M,5,BOOROOBIN
D         ,Bully,GERMNSHEPX,GERMNS,Orange    ,Y,M,12,BEERWAH
D         ,Darwin,STAFFRDBT ,STAFFR,Black     ,Y,M,3,MAROOCHYDORE
D         ,Sunny,CATTLEDOG ,CATTLE,BlueBlack ,Y,M,4,WEST WOOMBYE
D         ,Monty,POODLETOYX,POODLE,Black     ,Y,M,7,VALDORA
D         ,Rusty,POODLETOY ,POODLE,Red       ,Y,M,3,BUDERIM
D         ,Bella,COLLBORDR ,COLLBO,BlackWhite,Y,F,3,SHELLY BEACH
D         ,Bella,COLLBORDRX,COLLBO,BlackWhite,Y,F,5,CURRIMUNDI
D         ,Elly,MALAMUTEA ,MALAMU,GreyWhite ,Y,F,11,WURTULLA
D         ,Ozzy,ROTTWEILR ,ROTTWE,BlackTan  ,Y,M,4,PALMWOODS
Cat       ,Ava,DOMMH     ,DOMMH ,Grey      ,Y,F,3,BLI BLI
Cat       ,Gavin,DOMSH     ,DOMSH ,Black     ,Y,M,6,AROONA
Cat       ,Comet,DOMSH     ,DOMSH ,WhiteBlack,Y,M,5,NAMBOUR
Cat       ,Mara,DOMSH     ,DOMSH ,Black     ,Y,F,3,SIPPY DOWNS
Cat       ,Hendrix,EXOTIC    ,EXOTIC,Red       ,Y,M,4,BOKARINA
Cat       ,Ellie,DOMSH     ,DOMSH ,BlackWhite,Y,F,3,BURNSIDE
D         ,Zelda,POODLE    ,POODLE,Black     ,Y,F,4,PEREGIAN SPRINGS
D         ,Raven,CHIHUAHLH ,CHIHUA,Black     ,Y,F,6,YANDINA
D         ,Mystique,CHIHUAHUA ,CHIHUA,Black     ,Y,F,6,YANDINA
D         ,Ace,MALTESEX  ,MALTES,WhiteBlack,Y,M,4,MOUNT COOLUM
D         ,Pocket,JACKRUSMNX,JACKRU,WhiteBrown,Y,F,8,MOFFAT BEACH
D         ,Monty,SPANIELCV ,SPANIE,BlackWhite,Y,M,5,MUDJIMBA
D         ,Tinkerbell,SPANIELCV ,SPANIE,BlackWhite,N,F,12,MUDJIMBA
D         ,Morag Stanton,TERRIERSC ,TERRIE,BlackBrind,Y,F,10,MONS
D         ,Archie Stanton,TERRIERSC ,TERRIE,BlackBrind,Y,M,4,MONS
D         ,Rusky,HUSKYX    ,HUSKY,BlackTan  ,Y,M,5,DULONG
D         ,Bailey,MALTESEX  ,MALTES,BlackWhite,Y,M,10,MOUNT COOLUM
Cat       ,Gwendolen,DOMMH     ,DOMMH ,Tabby     ,Y,F,6,WITTA
Cat       ,Ignatius,DOMSH     ,DOMSH ,Black     ,Y,M,7,WITTA
D         ,Titan,BULLARAB  ,BULLAR,BrindlWhit,Y,M,8,MAROOCHYDORE
D         ,Hydra,STAFFRDBTX,STAFFR,Tan       ,Y,F,7,MAROOCHYDORE
D         ,Sasha,MASTIFFX  ,MASTIF,Brindle   ,Y,F,6,MAROOCHYDORE
D         ,Ziggy,STAFFRDBT ,STAFFR,Brown     ,Y,M,6,CURRIMUNDI
D         ,Jedda,KELPIEAUSX,KELPIE,Black     ,Y,F,14,BUDERIM
